clue_text,hint_text,country,location,point_of_interest,latitude,longitude,address,media_file,love_note,dummy_poi,dummy_country,dummy_location,dummy_latitude,dummy_longitude,dummy_address,dummy_popup_text
Our first ever theme park - membeh Sesame Street Spaghetti Space Chase? I membeh!,You wanted 1000 pics at the globe ;),Singapore,,Universal Studios Singapore,1.254210254,103.8238708,"1.2542102537998967, 103.82387076606517",universal.jpg,It was so much fun watching your reaction on the roller coasters - I can't wait for you to come here and ride the REAL real ones -,Mall of Asia,Philippines,Manila,14.53532795,120.9819492,"14.535327954862343, 120.98194922460131","Mall of Asia isn't the solution, but we've gone so many times that I HAD to add it to the map -"
Our steepest most tiring trek to the ocean took place here - ,No swimming allowed!,Indonesia,Nusa,Diamond Beach,-8.773447327,115.6198716,"-8.773447327076367, 115.61987162768344",diamondbeach.jpg,"Yessss bub it's making my legs shaky just thinking about that climb down and back  ;) I wanna go do it again na though, just not eat that crappy lunch again after!",Landers,Philippines,Manila,14.50583513,121.0456693,"14.505835127836399, 121.04566933809245","Landers isn't the solution, but it IS our first pizza together and where I stole our first kiss on the way to ;)"
Our Valentine's Day dinner two years in a row - ,I still don't have a shirt!,Hong Kong,,BRKLYN Pizza Co.,22.28240662,114.152967,"22.282406615770597, 114.15296698159052",brklyn.jpg,Mmmm I want rigatoni and meatballs with a big pepperoni pizza and garlic knots now that I don't have that heartburn problem anymore - somehow I have no pics of you here in my collection!,Central Market,Malaysia,,3.145445604,101.6953836,"3.1454456041615515, 101.69538358450426","Central Market isn't the solution, but membeh that cute white stray - I met at the nearby 7-11 - I membeh!"
"Our first immunity, and your first experience of parm and vinegar -",It wasn't that they didn't clean the room ;),Philippines,Boracay,Fairways at Bluewater,11.97813892,121.9214472,"11.978138916789858, 121.92144722271449",fairways.jpg,That's an easy one - definitely had to include the bathroom in this photo - shame I couldn't find any audio of the lizards!,The Cafe Apartment,Vietnam,,10.77413237,106.704103,"10.7741323672848, 106.70410302270143","The Cafe Apartment - not the solution, but I really need a salt coffee na bumbum -"
"During one of our all day tours, you got to see an unexpected friend take a ride on my back here ;)","We also got ""selfies"" with smaller friends",Indonesia,Bali,Sacred Monkey Forest Sanctuary,-8.519181703,115.2606084,"-8.519181703294173, 115.26060843809834",monkeys.jpg,"I'm sure you knew this one right away, but finding them on the maps is probably the hard part ;) that was the plan bumbummmm -",Buca di Beppo closed both times,Philippines,Manila,14.54994976,121.0546787,"14.549949757204832, 121.05467866878215","This Buca isn't the solution, and never was for us! First we go and they haven't opened yet, next time they're out of business! Grrrr"
Your first ever Gordon Ramsay restaurant -,Think Londoner,Macau,,Gordon Ramsay Pub and Grill,22.14735323,113.5651338,"22.147353230417966, 113.56513377567833",grpub.jpg,"Sowwwwyyyy for not getting the Sticky Toffee Pudding for your first Ramsay - we were supposed to have like 4 more Ramsays, not only 1 more that trip!",Bakehouse,Hong Kong,,22.28175802,114.1531458,"22.281758019490063, 114.1531458093704","Bakehouse - not the solution, but you were so happy to get your pictures with the box - and yummy apple pie cookie!"
The place we went one night where you saw a world record broken (for largest amount of grated parm in one place),That poor guy always wants more parmesan!,Vietnam,,Thien Kim Spa,10.76578138,106.6904054,"10.765781379468622, 106.69040537918674",thienkim.jpg,It was pretty awkward having that poor guy massage my feet - but that was nothing compared to the 12 pound parm pile he took off of my feet LMAO!,Wynn Palace,Macau,,22.14772633,113.5712395,"22.147726329135565, 113.57123952389347",Wynn Palace - not the solution but I enjoyed walking around their casino and outside at the skybuckets and fountains with you bbbbyyyy -
"After a long Valentine's Day tour starting before sunrise - where I proposed, without a speech, but you said yes anyway ;)","Last stop after volcano sunrise, jeep touring and hot springs -",Indonesia,Bali,Tibumana Waterfall,-8.50668984,115.3331046,"-8.506689840269066, 115.33310455344281",tibumana.jpg,Had to include our proposal spot bbbbyyyykins - it was the perfect end to a perfect day trip…still happy we skipped the - poo coffee -,Kelingking Beach,Indonesia,Nusa,-8.750833155,115.4732901,"-8.750833155351447, 115.47329006281781","Kelingking Beach - not the solution, but monkeys and scenic pics even if we were too tired to climb down to a 2nd beach -"
"Our first ""date"" and favorite most memorable pizza and bolognese spot",Also my favorite hookah spot ;),Philippines,Boracay,Aplaya,11.96426991,121.9230838,"11.964269912225133, 121.92308376874801",aplaya.jpg,"Of course - our first pizza ""date"" and it's crazy how much better that pizza is than the picture looks - I wanna eat 2 and a bolognese na bumbum - ",Eddie's New York Deli & Diner,Vietnam,,10.77528134,106.7004923,"10.775281343039955, 106.70049226688212",Eddie's NY Diner - not the solution but yummmm I want another roast beef sammich!
Lots of colorful stairs and monkeys - ,Unfortunately suddenly not much time to see or do much more than that one tour (,Malaysia,,Batu Caves,3.238065064,101.6840306,"3.2380650642057147, 101.68403063404163",batu.jpg,Definitely the most scenic highlight of our short time in Malaysia - we have to get a re-do for Sentosa Resorts and make that side trip to Thailand soon bub!,Hotel Calmo Bugis,Singapore,,1.297850323,103.8566779,"1.297850322515718, 103.85667788708383","Hotel Calmo Bugis - not the solution, but you had fun dragging me back here after a few mediums - - I didn't even remember our pizza!"
